  #Magnitude          Freq      Cum_Freq
         470             0       4180469
         471             0       4180469
         472             0       4180469
         473             0       4180469
         474             0       4180469
         475             0       4180469
         476             0       4180469
         477             0       4180469
         478             0       4180469
         479             0       4180469
         480             0       4180469
         481             0       4180469
         482             0       4180469
         483             0       4180469
         484             0       4180469
         485             0       4180469
         486             0       4180469
         487             0       4180469
         488             0       4180469
         489             0       4180469
         490             0       4180469
         491             0       4180469
         492             0       4180469
         493             0       4180469
         494             0       4180469
         495             0       4180469
         496             0       4180469
         497             0       4180469
         498             0       4180469
         499             0       4180469
         500             0       4180469
         501             0       4180469
         502             0       4180469
         503             0       4180469
         504             0       4180469
         505             0       4180469
         506             0       4180469
         507             0       4180469
         508             0       4180469
         509             0       4180469
         510             0       4180469
         511             0       4180469
         512             0       4180469
         513             0       4180469
         514             0       4180469
         515             0       4180469
         516             0       4180469
         517             0       4180469
         518             0       4180469
         519             0       4180469
         520             0       4180469
         521             0       4180469
         522             0       4180469
         523             0       4180469
         524             0       4180469
         525             0       4180469
         526             0       4180469
         527             0       4180469
         528             0       4180469
         529             0       4180469
         530             0       4180469
         531             0       4180469
         532             0       4180469
         533             0       4180469
         534             0       4180469
